Organism	Pathway Name	#Reactions	Evidence
GCF_000014905	ARABCAT-PWY	3	EV-COMP-AINF
GCF_000014905	GLUTAMINEFUM-PWY	1	EV-COMP-AINF
GCF_000014905	PWY0-1313	1	EV-COMP-AINF
GCF_000014905	PWY-5364	2	EV-COMP-AINF
GCF_000014905	P108-PWY	7	EV-COMP-AINF
GCF_000014905	PWY-7180	3	EV-COMP-AINF
GCF_000014905	PWY-7942	6	EV-COMP-AINF
GCF_000014905	PWY-7197	4	EV-COMP-AINF
GCF_000014905	COA-PWY	4	EV-COMP-AINF
GCF_000014905	PWY-5844	1	EV-COMP-AINF
GCF_000014905	HISTSYN-PWY	10	EV-COMP-AINF
GCF_000014905	PWY0-501	2	EV-COMP-AINF
GCF_000014905	PWY-6268	5	EV-COMP-AINF
GCF_000014905	PWY-6644	6	EV-COMP-AINF
GCF_000014905	PWY-7205	2	EV-COMP-AINF
GCF_000014905	PWY0-1337	35	EV-COMP-AINF
GCF_000014905	PWY-6932	5	EV-COMP-AINF
GCF_000014905	PWY-8002	5	EV-COMP-AINF
GCF_000014905	PWY-7193	3	EV-COMP-AINF
GCF_000014905	PWY-7227	2	EV-COMP-AINF
GCF_000014905	PWY0-1329	2	EV-COMP-AINF
GCF_000014905	PWY-5849	1	EV-COMP-AINF
GCF_000014905	XYLCAT-PWY	2	EV-COMP-AINF
GCF_000014905	PWY-6497	3	EV-COMP-AINF
GCF_000014905	PWY-6717	2	EV-COMP-AINF
GCF_000014905	PWY-5041	3	EV-COMP-AINF
GCF_000014905	PWY-8148	1	EV-COMP-AINF
GCF_000014905	PWY-6683	3	EV-COMP-AINF
GCF_000014905	ILEUDEG-PWY	6	EV-COMP-AINF
GCF_000014905	PWY-7388	11	EV-COMP-AINF
GCF_000014905	ILEUSYN-PWY	7	EV-COMP-AINF
GCF_000014905	FAO-PWY	7	EV-COMP-AINF
GCF_000014905	PWY-7663	4	EV-COMP-AINF
GCF_000014905	PWY-5667	4	EV-COMP-AINF
GCF_000014905	LIPASYN-PWY	5	EV-COMP-AINF
GCF_000014905	PWY-7791	6	EV-COMP-AINF
GCF_000014905	DETOX1-PWY-1	6	EV-COMP-AINF
GCF_000014905	PWY8J2-1	3	EV-COMP-AINF
GCF_000014905	THIOREDOX-PWY	2	EV-COMP-AINF
GCF_000014905	PEPTIDOGLYCANSYN-PWY	10	EV-COMP-AINF
GCF_000014905	PWY-7206	3	EV-COMP-AINF
