TAX-3888,TAX-3847,TAX-3880,TAX-1063,TAX-1061,TAX-287,TAX-4577,TAX-4081,TAX-9606,TAX-3708,TAX-3562,TAX-382,TAX-1488,TAX-4932,TAX-548,TAX-1718,TAX-4513,TAX-4530,TAX-4565,TAX-573,TAX-4097,TAX-4113,TAX-1423,TAX-294,TAX-1773,TAX-1148,TAX-303,TAX-2336,TAX-9913,TAX-2287,TAX-3055,TAX-1097,TAX-2190,TAX-1280,TAX-358,TAX-4058,TAX-3702,TAX-3988,TAX-1772
0.0,0.0,0.0,0.13329387,0.04225356,0.0,0.0,0.0,3.35048e-05,0.0,0.0,0.011904773,0.0,0.00013051974,0.0,0.0,0.004090315,0.0,0.002685427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023474202,0.0,0.0055778674,0.0,0.0,0.0,0.0,0.0,0.002900566,0.004817571,0.0,0.0
0.0010288076,0.0009818944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007708911,0.030364363,0.0,0.0,0.0,0.010577534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047285776,0.014302058,0.0,0.0,0.0053418805,0.0,0.0032117167,0.10463388,0.029651584
0.0,0.0,0.0,0.0,0.0,0.0,0.0015199871,0.0,0.0,0.0,0.0019157088,0.0059523806,0.04084971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016449526,0.0009199468,0.0,0.0,0.0027685487,0.0,0.0,0.0025912104,0.0055778623,0.0,0.0,0.0,0.050020054,0.0,0.0029005695,0.0,0.0,0.0
0.002057612,0.0,0.0,0.04443132,0.007042252,0.00061135116,0.0,0.00069794385,0.0,0.00495442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001461902,0.0,0.0,0.0,0.0018870771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018792037,0.0,0.010683771,0.0,0.0,0.0,0.014825792
0.0010288076,0.0,0.007348619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001305195,0.0,0.0,0.0,0.0,0.00268543,0.0,0.0,0.0,0.0,0.0,0.0,0.0027685487,0.0,0.0,0.0,0.0055778674,0.0,0.0,0.0,0.0,0.0,0.005801132,0.0,0.029895395,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069794385,0.0,0.00495442,0.0,0.0,0.01361657,0.0,0.0,0.0,0.0,0.0007122514,0.0,0.0,0.002923807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014302073,0.0,0.0,0.0053418856,0.0,0.0,0.0,0.0
0.0,0.0009818944,0.014697238,0.014810441,0.0,0.0,0.0,0.00069794385,6.70096e-05,0.0,0.0019157088,0.0059523867,0.0,0.00013051974,0.0,0.0,0.004090318,0.0,0.0,0.0,0.0014619007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074129053
0.0,0.0009818932,0.0,0.0,0.0,0.00061135116,0.0,0.0,0.0,0.0,0.0019157088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002685427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001028806,0.0,0.0,0.0,0.0,0.0,0.0015199871,0.0,0.0,0.0,0.0,0.0059523867,0.0,0.0,0.0,0.0,0.0,0.00071225007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055778674,0.0,0.0,0.0018792056,0.010004011,0.0,0.0,0.0,0.014947673,0.0
0.0,0.0009818932,0.0,0.014810419,0.0,0.0,0.0,0.00069794385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016449526,0.0,0.0,0.0,0.0,0.0,0.0,0.0025912079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0009818944,0.0,0.0,0.0,0.0,0.0,0.00069794385,0.0,0.00495442,0.0,0.0,0.0,0.00013051974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002591213,0.0055778674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0015199871,0.00069794286,3.35048e-05,0.0,0.0019157088,0.0,0.01361657,0.0,0.0,0.0101214545,0.0,0.0007122514,0.0,0.0,0.0,0.0016449526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010004011,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005288767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0070422604,0.0,0.0,0.0,0.0,0.0,0.0,0.011904773,0.0,0.0,0.0,0.0,0.008180636,0.0,0.002685427,0.0,0.0,0.0016449526,0.0,0.0011222084,0.0,0.0,0.0016804447,0.0,0.002591213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0006113525,0.0,0.0,0.0,0.0,0.0,0.0,0.013616552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008402242,0.0,0.0,0.0,0.0,0.007151029,0.0,0.0,0.0,0.0,0.0,0.04484302,0.0
0.0,0.0,0.0,0.0,0.0070422604,0.0,0.0,0.0,0.0,0.0,0.0019157088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002685427,0.0,0.0,0.0,0.0,0.0,0.0,0.0055370973,0.0,0.011737101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.014810441,0.0,0.0,0.0,0.00069794286,3.3504864e-05,0.0,0.0,0.0,0.0,0.00013051974,0.015417822,0.0101214545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027685487,0.0,0.0,0.0,0.0,0.0,0.007151029,0.0018792056,0.0,0.010683771,0.0,0.0,0.0,0.007412896
0.001028806,0.0,0.007348606,0.0,0.0,0.0,0.0015199871,0.0,0.0,0.00495442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014619034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047285776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
