TAX-3888,TAX-3847,TAX-3880,TAX-1063,TAX-1061,TAX-287,TAX-4577,TAX-4081,TAX-9606,TAX-3708,TAX-3562,TAX-382,TAX-1488,TAX-4932,TAX-548,TAX-1718,TAX-4513,TAX-4530,TAX-4565,TAX-573,TAX-4097,TAX-4113,TAX-1423,TAX-294,TAX-1773,TAX-1148,TAX-303,TAX-2336,TAX-9913,TAX-2287,TAX-3055,TAX-1097,TAX-2190,TAX-1280,TAX-358,TAX-4058,TAX-3702,TAX-3988,TAX-1772
1.9932687,-2.9838414,0.8803045,2.622212,1.6892859,-3.5954714,0.16927326,-0.26627702,-0.83933437,5.8682084,7.157462,3.811702,1.8223724,0.9387864,-2.2534032,-0.2886934,0.7188159,2.4484413,3.1428366,-0.1985934,1.6575801,-3.6364567,1.9206039,-3.1754963,4.5360465,1.2163295,-6.710125,-0.24856809,-3.1599889,-0.30901626,-2.6586266,-1.0655882,0.6522307,4.523919,-1.19138,-6.486141,0.7868085,4.9594154,3.9977741
7.217728,8.962623,0.37787655,0.98705024,-3.4503772,-2.8063436,0.80775225,6.3705907,-1.1043766,2.7798197,1.3426509,-4.968082,2.1842813,-1.5439178,-0.52140653,3.3860962,3.2650316,-0.025970016,4.3619976,-1.8018274,6.247543,7.235338,-1.5013151,-5.2102213,0.8873795,5.926465,0.20489666,3.994206,-3.1825445,-0.09011589,8.130675,-0.9724797,-4.4501576,5.8659606,-1.0139706,2.7145112,0.39974588,2.1540039,-0.26909906
6.106839,3.845448,8.262855,0.48713514,-1.9933527,-6.2539315,5.22968,4.1752806,6.6358395,3.2555475,2.9610367,2.4352708,-2.0804992,3.0499415,-2.3936458,-3.239681,4.944781,4.827004,3.3468294,-2.171518,1.4387364,5.873785,-3.5232227,-4.291814,-3.4438,1.5204742,-4.616803,1.3926624,-5.628725,-1.6679442,-3.9477723,-2.683651,2.0152075,4.453255,-5.7738194,7.243285,5.9491186,4.469787,-3.2879364
-2.1456692,-1.8757291,8.555197,6.42888,8.704329,-1.2512674,2.8389606,6.0781393,-2.8116744,-1.7331635,-2.9027908,3.9002576,5.6021523,-2.8520346,0.42705506,2.7816412,2.4308238,1.9351057,-2.6686175,1.7517966,2.0481615,2.6416035,-4.0625687,4.7573256,1.3782966,-2.8936956,2.4843256,-1.8786854,1.3541751,3.0167842,1.5954876,7.763599,-6.531363,-7.165287,2.7425926,5.657483,3.9308457,-5.8149743,5.524274
5.3607836,1.3920082,5.9376473,2.9702387,8.9054365,-0.5352141,0.06035823,-0.8176209,3.6839788,1.1814039,5.1698966,-0.6875953,8.795132,1.8330142,0.05948783,-3.0606146,2.8073559,3.3767328,3.7603934,-5.007206,-1.8593202,-3.4247558,0.03861499,-3.5646257,3.0483198,1.0633298,-1.5874326,-2.9676874,-1.4231957,-0.069904596,-3.182225,4.918632,-0.13218655,-0.9284424,-2.3198388,1.9259629,4.028167,-2.066533,9.185925
1.4309142,3.6965215,3.8821032,2.9192393,-0.4381822,0.6164266,5.54322,4.1121426,2.4824498,6.923774,4.9351854,-1.6374335,-1.4861985,5.8775578,-1.8288403,-2.8085186,6.230983,8.304061,-0.49363247,-1.01915,5.0876575,4.0769925,3.583189,4.6229258,-0.12806469,2.9758565,3.7288578,6.2441278,1.2429926,8.164559,2.6367505,1.9222006,3.962398,0.07024569,-0.39371517,3.1454563,5.1419516,4.379562,2.2548208
11.240129,4.8775163,-1.643097,7.854026,2.4187388,-1.5438608,2.6716764,-0.3881981,1.1935396,5.353271,4.5487375,4.675459,2.930926,3.4534247,1.2560178,5.49119,1.6752225,6.6307325,8.193883,7.299928,6.2452564,3.2479188,3.3484108,-4.221408,9.3304,1.678901,-2.5911672,8.684581,-1.570079,2.5184681,7.5096245,-0.26730922,4.8763075,6.433607,1.3216347,-4.0468416,13.366133,3.2517943,4.318472
-2.0703223,-1.8198022,-7.1228104,-1.8311739,-3.7851226,-1.9250472,-0.6372001,-5.770922,-7.3184953,0.8674398,-1.8182892,1.3484246,-4.471513,-0.8164569,4.2825923,3.0342147,0.10467817,-3.7215638,-2.4657316,5.5702267,-5.064805,-3.077316,2.8825603,2.9968452,1.0727257,-1.724291,1.3369256,5.347336,-0.6438788,-0.9914066,-3.749605,-5.3993196,5.516875,-6.187073,-0.3876346,-5.7767406,-9.412907,-0.56579536,3.864569
-3.5910356,0.302297,-1.9317776,-1.0945631,-0.55444276,4.6008806,-2.4382753,0.32495114,4.5278573,-0.42489162,3.1451075,-1.6662017,6.0489707,-3.081547,0.4081159,-0.40310505,4.2920513,0.21123014,-5.4507923,1.0772029,0.31408298,4.378122,-2.0937426,2.9104378,-1.3701148,-4.720706,1.1216776,5.089418,2.6276832,2.7132924,1.7906145,-2.8705564,-4.822451,0.8159351,-1.2314758,0.61369056,1.642778,-2.3007085,0.43276095
3.2414658,4.276005,1.2478542,-1.5488703,-2.8893595,0.87162405,3.964409,3.0615907,4.9506974,0.34135056,2.6350055,-0.87547827,3.0312746,-0.52769685,0.30546725,-3.7274055,6.3079557,8.242785,3.1885262,5.092425,1.203311,5.2489367,-1.1233581,-0.967966,1.236399,-3.2160594,1.1006243,4.6079564,2.2869637,3.263908,-2.190454,-7.0530505,-5.370385,0.0101485215,0.0048214807,4.13582,3.4928453,-0.89586186,3.3468053
